t [s],FA [g],SS [g]
17.52,-0.0034802237,0.005574975
17.56,-0.0032468594,0.005925683
17.6,-0.0030783163,0.004866988
17.64,-0.0027057077,0.002855866
17.68,-0.0033591308,0.0014560586
17.72,-0.0032553843,0.0016764947
17.76,-0.0030942606,0.0015912417
17.8,-0.0021405327,-0.000118444696
17.84,-0.0010426784,8.54218e-06
17.88,-0.000933455,5.2799336e-05
17.92,-0.00043384545,-0.00020261103
17.96,-0.00033811224,0.0004325841
18.0,-2.2303702e-05,0.0004187034
18.04,-0.0002600547,0.000752826
18.080000000000002,-0.00016021832,-0.00072005147
18.12,0.00071904017,-0.002381935
18.16,0.00032200787,-0.004304368
18.2,0.0007013101,-0.0064922315
18.240000000000002,0.00045926828,-0.0067516603
18.28,0.00032674905,-0.006961307
18.32,0.0005989379,-0.005335547
18.36,0.0011745137,-0.0055297627
18.400000000000002,0.0027176235,-0.0061106966
18.44,0.0034156255,-0.0061113015
18.48,0.0043007988,-0.009504452
18.52,0.004586283,-0.010776125
18.56,0.0041498607,-0.010503484
18.6,0.0041255774,-0.009021337
18.64,0.0034889206,-0.008197202
18.68,0.0033081789,-0.008679049
18.72,0.0029002235,-0.00758509
18.76,0.001987645,-0.008442198
18.8,0.0014035731,-0.007448084
18.84,0.00085917267,-0.00716014
18.88,0.001042327,-0.008706035
18.92,0.00021271067,-0.009010427
18.96,-0.0005708388,-0.011013377
19.0,-0.00073081517,-0.010668734
19.04,-0.0014325955,-0.009827048
19.080000000000002,-0.0022982685,-0.008984742
19.12,-0.003119054,-0.007533943
19.16,-0.0037736404,-0.00593728
19.2,-0.0033186509,-0.0049955565
19.240000000000002,-0.0020819025,-0.0061569875
19.28,-0.0013129392,-0.005222331
19.32,-0.0014203961,-0.0044871843
19.36,-0.0018044715,-0.004971543
19.400000000000002,-0.0018287387,-0.0044985665
19.44,-0.0020916604,-0.003673198
19.48,-0.0024323093,-0.001991249
19.52,-0.002381963,0.00051010743
19.56,-0.0025525903,0.0019178798
19.6,-0.0023555602,0.00053231197
19.64,-0.0020789062,-6.174447e-05
19.68,-0.0019231526,9.328004e-05
19.72,-0.0019393997,0.0012794075
19.76,-0.0020623717,0.0035678258
19.8,-0.0014474776,0.0038601388
19.84,-0.0016360881,0.003946006
19.88,-0.0020386276,0.003881606
19.92,-0.0022256237,0.005791556
19.96,-0.0024618795,0.006632378
20.0,-0.002476728,0.007482451
20.04,-0.0029153156,0.009135837
20.080000000000002,-0.0024826424,0.008379701
20.12,-0.002271762,0.01048446
20.16,-0.002112731,0.010667807
20.2,-0.0018763208,0.011060756
20.240000000000002,-0.002446044,0.011201215
20.28,-0.002078114,0.010596179
20.32,-0.002102746,0.012853565
20.36,-0.002181928,0.011807275
20.400000000000002,-0.0012840478,0.011419628
20.44,-0.001566635,0.011064368
20.48,-0.0038685028,0.013635701
20.52,-0.0049226386,0.013441436
20.56,-0.0036673215,0.009241539
20.6,-0.003287745,0.012904247
20.64,-0.0024865181,0.010950115
20.68,-0.0011926617,0.008862433
20.72,-0.0007433964,0.009171807
20.76,-0.0020095853,0.008023743
20.8,-0.0042382577,0.006579823
20.84,-0.0037540705,0.0056933006
20.88,-0.0027709154,0.0045721135
20.92,-0.005634404,0.0033448231
20.96,-0.008273673,0.0021809207
21.0,-0.0084028905,0.0013100739
21.04,-0.009189714,0.0014759542
21.080000000000002,-0.010675323,0.0043850006
21.12,-0.013362431,0.0037622105
21.16,-0.015195016,-0.0020310842
21.2,-0.014929224,-0.0046929857
21.240000000000002,-0.015450848,-0.006661756
21.28,-0.016676331,-0.0062007234
21.32,-0.018548403,-0.0063783964
21.36,-0.020356808,-0.0062563936
21.400000000000002,-0.021825505,-0.0049023344
21.44,-0.021436134,-0.0061859917
21.48,-0.021638336,-0.006468693
21.52,-0.023267066,-0.007836181
21.56,-0.023798697,-0.009863784
21.6,-0.023106024,-0.010883581
21.64,-0.021888357,-0.012515304
21.68,-0.022393169,-0.014197949
21.72,-0.022575019,-0.012049275
21.76,-0.02176197,-0.010848361
21.8,-0.020736828,-0.013646696
21.84,-0.017930444,-0.015781885
21.88,-0.016760347,-0.012753633
21.92,-0.016146326,-0.01331645
21.96,-0.01423431,-0.014313261
22.0,-0.013427123,-0.012304743
22.04,-0.013072757,-0.013654812
22.080000000000002,-0.0118114,-0.012553578
22.12,-0.009847031,-0.010711855
22.16,-0.0074093607,-0.009514588
22.2,-0.0055387067,-0.011638136
22.240000000000002,-0.0034618832,-0.010848697
22.28,-0.0017366409,-0.0068901954
22.32,-0.00040354123,-0.005562723
22.36,0.0026129377,-0.0057375086
22.400000000000002,0.0055795303,-0.0065181414
22.44,0.008239533,-0.005587108
22.48,0.010778317,-0.004397216
22.52,0.012743067,-0.002215872
22.56,0.015249921,-0.0008507332
22.6,0.017601917,0.0012494911
22.64,0.01908098,0.0027942038
22.68,0.020501642,0.0036353606
22.72,0.023167722,0.0044227946
22.76,0.025435714,0.0054577524
22.8,0.026737079,0.0061540464
22.84,0.029197454,0.0059704054
22.88,0.031346332,0.0062083215
22.92,0.031816434,0.0058256676
22.96,0.032274805,0.007745806
23.0,0.034115892,0.010991176
23.04,0.035998665,0.012867178
23.080000000000002,0.035568945,0.012459394
23.12,0.035717398,0.013785075
23.16,0.038125325,0.017333055
23.2,0.039055903,0.018872216
23.240000000000002,0.039272085,0.017798902
23.28,0.039882816,0.016382115
23.32,0.040087085,0.016249767
23.36,0.040157042,0.017155543
23.400000000000002,0.039237127,0.017850138
23.44,0.039573204,0.016858034
23.48,0.04131114,0.01505202
23.52,0.039925605,0.015239758
23.56,0.0388538,0.01834681
23.6,0.039484214,0.020542243
23.64,0.037952885,0.018021537
23.68,0.03743923,0.014252296
23.72,0.037961368,0.013935853
23.76,0.037452325,0.01683054
23.8,0.037011217,0.018585177
23.84,0.037567206,0.015338949
23.88,0.036644477,0.013765276
23.92,0.03210793,0.014675062
23.96,0.029692398,0.015225455
24.0,0.030274244,0.012887886
24.04,0.028142093,0.007198709
24.080000000000002,0.023742016,0.0017464322
24.12,0.020743154,0.0005162649
24.16,0.015612041,0.00048325097
24.2,0.008253181,-0.0018119215
24.240000000000002,0.0063340613,-0.0054764673
24.28,0.0042572496,-0.004195247
24.32,-0.0017401306,-0.000347714
24.36,-0.006167703,0.0004172923
24.400000000000002,-0.008850346,-0.0027592035
24.44,-0.012920201,-0.007203029
24.48,-0.016268073,-0.008157017
24.52,-0.01962843,-0.010816489
24.560000000000002,-0.024902845,-0.0140388105
24.6,-0.027573094,-0.014305188
24.64,-0.02859963,-0.013968198
24.68,-0.033277486,-0.0144350035
24.72,-0.03647459,-0.013613189
24.76,-0.037577998,-0.01453485
24.8,-0.040615305,-0.018284153
24.84,-0.04208343,-0.017094223
24.88,-0.04080033,-0.015490144
24.92,-0.039725438,-0.017408455
24.96,-0.041613284,-0.018679138
25.0,-0.042128403,-0.016439622
25.04,-0.042445302,-0.01508543
25.080000000000002,-0.044531744,-0.01719423
25.12,-0.04450063,-0.017223006
25.16,-0.04288305,-0.015204669
25.2,-0.041561946,-0.016630435
25.240000000000002,-0.041437726,-0.018409455
25.28,-0.040554006,-0.019557359
25.32,-0.04020716,-0.01873687
25.36,-0.04029585,-0.018187117
25.400000000000002,-0.03839484,-0.018926714
25.44,-0.03656799,-0.01681999
25.48,-0.033765003,-0.013533846
25.52,-0.031443194,-0.011070124
25.560000000000002,-0.029558841,-0.008767472
25.6,-0.02891122,-0.007743818
25.64,-0.027446149,-0.0064810324
25.68,-0.024017127,-0.006833054
25.72,-0.021322059,-0.0075056204
25.76,-0.018014617,-0.0057271617
25.8,-0.014811331,-0.004222096
25.84,-0.013676043,-0.0017599309
25.88,-0.012206057,-0.0010854627
25.92,-0.009443359,-0.00053055113
25.96,-0.0065709557,0.0026293474
26.0,-0.0032565377,0.0045908145
26.04,0.00016475626,0.0061825775
26.080000000000002,0.0031172694,0.008390329
26.12,0.007821064,0.008482608
26.16,0.012290253,0.00846655
26.2,0.01478099,0.009598887
26.240000000000002,0.017637478,0.011534025
26.28,0.02220999,0.013807706
26.32,0.02724976,0.014533781
26.36,0.030051913,0.014846471
26.400000000000002,0.032452777,0.016293135
26.44,0.035432283,0.01671782
26.48,0.037628934,0.01579535
26.52,0.039415188,0.014208635
26.560000000000002,0.042463094,0.013250579
26.6,0.04565803,0.013090781
26.64,0.04683141,0.014573763
26.68,0.047456402,0.015182066
26.72,0.048152428,0.014367313
26.76,0.048437823,0.014728944
26.8,0.048596874,0.014427834
26.84,0.048952144,0.013480321
26.88,0.049053267,0.01323503
26.92,0.049336255,0.0115204565
26.96,0.049087424,0.010349049
27.0,0.046502348,0.0104422085
27.04,0.0442951,0.011485457
27.080000000000002,0.0430981,0.012010962
27.12,0.04072729,0.010073069
27.16,0.03798246,0.009501099
27.2,0.036661543,0.010049905
27.240000000000002,0.034182534,0.00910555
27.28,0.030423053,0.009081817
27.32,0.027986487,0.008525363
27.36,0.025908144,0.0071343565
27.400000000000002,0.024162276,0.008121512
27.44,0.022784537,0.008601071
27.48,0.020625593,0.0068303933
27.52,0.017764822,0.005301516
27.560000000000002,0.014735643,0.004224054
27.6,0.010687668,0.00230785
27.64,0.0067606745,0.00028347122
27.68,0.0040586605,-0.001051106
27.72,0.0009978199,-0.002727018
27.76,-0.003361651,-0.0050029494
27.8,-0.007859174,-0.006274758
27.84,-0.011417278,-0.006416668
27.88,-0.015014798,-0.0070593776
27.92,-0.018594204,-0.008629038
27.96,-0.021230757,-0.009840381
28.0,-0.02331785,-0.010281706
28.04,-0.026240753,-0.011267139
28.080000000000002,-0.028826587,-0.012324761
28.12,-0.030838985,-0.013178502
28.16,-0.03355105,-0.014002859
28.2,-0.035577618,-0.014835411
28.240000000000002,-0.036556445,-0.015560966
28.28,-0.03772368,-0.015620688
28.32,-0.03968937,-0.016126858
28.36,-0.041450653,-0.016777804
28.400000000000002,-0.04316292,-0.016536236
28.44,-0.04505855,-0.015835335
28.48,-0.04623461,-0.014823915
28.52,-0.047096334,-0.014272931
28.560000000000002,-0.047692437,-0.0150167635
28.6,-0.047475975,-0.015427658
28.64,-0.047736138,-0.0145341465
28.68,-0.04781261,-0.013847778
28.72,-0.04654945,-0.014330632
28.76,-0.045064215,-0.013577733
28.8,-0.04344391,-0.012405887
28.84,-0.04091038,-0.01193838
28.88,-0.038369708,-0.01186492
28.92,-0.036331426,-0.010287139
28.96,-0.034243356,-0.008716784
29.0,-0.0318092,-0.0073486217
29.04,-0.028677156,-0.0058588935
29.080000000000002,-0.025207488,-0.005407524
29.12,-0.02174632,-0.0053476337
29.16,-0.018104974,-0.0047389725
29.2,-0.014941774,-0.0035730267
29.240000000000002,-0.012255772,-0.001690213
29.28,-0.0094823865,-0.00033561524
29.32,-0.00625404,0.0011224455
29.36,-0.0027827441,0.0020454114
29.400000000000002,9.164943e-05,0.0031034115
29.44,0.0031683685,0.0040779053
29.48,0.006460867,0.0035944837
29.52,0.009297541,0.0045679957
29.560000000000002,0.01211328,0.006597112
29.6,0.0154794315,0.0077803554
29.64,0.019078007,0.009609124
29.68,0.021816213,0.011390124
29.72,0.024225354,0.011120264
